products,n_bgc
cyclic-lactone-autoinducer;lanthipeptide-class-ii,1
cyclic-lactone-autoinducer;RRE-containing,1
NRPS;T1PKS;RiPP-like,1
NRPS;NRPS-like;T2PKS,1
indole;NRPS-like,1
hserlactone;phosphonate,1
hserlactone;lassopeptide;RiPP-like,1
hserlactone;ectoine,1
hserlactone;RRE-containing,1
hglE-KS;butyrolactone,1
hglE-KS;NRPS;NRPS-like;T1PKS,1
hglE-KS;NRPS;T1PKS;NRPS-like,1
ladderane;butyrolactone;hserlactone,1
lanthipeptide-class-i;lanthipeptide-class-iv,1
lanthipeptide-class-i;lassopeptide,1
lanthipeptide-class-ii;RiPP-like,1
ladderane;arylpolyene;butyrolactone;hserlactone,1
ladderane;arylpolyene,1
ladderane;butyrolactone,1
ladderane;NRPS;NRPS-like,1
lanthipeptide-class-v;LAP,1
lanthipeptide-class-iv;thiopeptide;LAP,1
cyclic-lactone-autoinducer;NRPS-like,1
ectoine;butyrolactone;NRPS;NRPS-like,1
furan;betalactone;ladderane;butyrolactone,1
furan;lipolanthine,1
epipeptide,1
ectoine;hserlactone,1
NRPS;T1PKS;terpene,1
NRPS;T1PKS;thioamitides,1
NRPS;arylpolyene,1
NRPS;T1PKS;transAT-PKS,1
cyclic-lactone-autoinducer;LAP;thiopeptide,1
NRPS;T1PKS;arylpolyene,1
NRPS;T1PKS;phosphonate;NRPS-like,1
NRPS;NRPS-like;T1PKS;hserlactone,1
lassopeptide;NRPS;hserlactone,1
lassopeptide;NRPS-like,1
lassopeptide;NAGGN;RiPP-like,1
lanthipeptide-class-v;RiPP-like,1
T1PKS;NAGGN,1
T1PKS;NRPS-like;betalactone,1
RiPP-like;redox-cofactor,1
RiPP-like;betalactone,1
lanthipeptide-class-v;NRPS-like,1
NRPS;terpene,1
RRE-containing;lassopeptide;hserlactone,1
RRE-containing;terpene,1
lanthipeptide-class-iv;LAP,1
lanthipeptide-class-iv;RiPP-like,1
NRPS-like;lanthipeptide-class-v,1
NRPS-like;phenazine,1
NRPS;siderophore;T1PKS;lipolanthine;lanthipeptide-class-iii,1
NRPS;siderophore,1
NRPS-like;siderophore,1
NRPS-like;redox-cofactor,1
lassopeptide;lanthipeptide-class-ii,1
oligosaccharide;RRE-containing,1
NRPS-like;butyrolactone,1
NRPS-like;arylpolyene,1
NRPS;arylpolyene;resorcinol,1
NRPS;betalactone;T1PKS,1
NRPS;lanthipeptide-class-i,1
NRPS;hserlactone,1
NRPS;other;phosphonate,1
NRPS;prodigiosin,1
RRE-containing;cyclic-lactone-autoinducer,1
NRPS-like;lanthipeptide-class-i,1
ranthipeptide;lassopeptide,1
ranthipeptide;lanthipeptide-class-ii,1
ranthipeptide;LAP;RiPP-like,1
proteusin;thioamitides,1
proteusin;lanthipeptide-class-ii,1
phosphonate;lanthipeptide-class-ii,1
other;NRPS;nucleoside,1
other;NRPS;T1PKS,1
NRPS;LAP;RiPP-like,1
other;NRPS-like,1
resorcinol;arylpolyene;betalactone,1
NRPS;transAT-PKS;NRPS-like;PKS-like,1
transAT-PKS-like;NRPS-like,1
resorcinol;indole,1
resorcinol;arylpolyene;NRPS,1
resorcinol;RiPP-like,1
RRE-containing;LAP;RiPP-like,1
PUFA,1
PKS-like;T1PKS;NRPS,1
PKS-like;amglyccycl,1
terpene;NRPS,1
terpene;NRPS;T1PKS,1
terpene;LAP;RiPP-like,1
siderophore;NRPS;T1PKS,1
NRPS-like;NRPS;RRE-containing;lassopeptide,1
NAPAA;microviridin,1
thioamitides;proteusin,1
NRPS-like;NRPS;transAT-PKS,1
LAP;RiPP-like;NRPS,1
LAP;NRPS,1
transAT-PKS;T3PKS;PKS-like,1
transAT-PKS;terpene,1
