products,n_bgc
NRPS;other;phosphonate,1
resorcinol;arylpolyene;betalactone,1
resorcinol;arylpolyene;NRPS,1
resorcinol;RiPP-like,1
redox-cofactor;hserlactone,1
redox-cofactor;T1PKS,1
redox-cofactor;NRPS,1
NRPS-like;NRPS;T1PKS;lanthipeptide-class-ii,1
NRPS-like;NRPS;T1PKS;betalactone;RiPP-like,1
NRPS-like;NRPS;T1PKS;LAP,1
NRPS;melanin,1
NRPS;lanthipeptide-class-v;lanthipeptide-class-ii;redox-cofactor,1
NRPS;ectoine;T1PKS,1
siderophore;T2PKS;betalactone,1
siderophore;T1PKS;NRPS-like;lanthipeptide-class-iii;RiPP-like,1
siderophore;T1PKS;NRPS-like,1
siderophore;NRPS;NRPS-like,1
siderophore;NRPS-like,1
siderophore;CDPS,1
sactipeptide;ranthipeptide,1
resorcinol;siderophore,1
resorcinol;ranthipeptide;NRPS,1
resorcinol;indole,1
resorcinol;arylpolyene;terpene,1
NRPS;transAT-PKS-like;T3PKS;PKS-like,1
NRPS;transAT-PKS-like;NRPS-like;T1PKS,1
NRPS;T2PKS,1
NRPS;T1PKS;thioamitides,1
NRPS;T1PKS;siderophore,1
NRPS;T1PKS;phosphonate;NRPS-like,1
NRPS;T1PKS;lanthipeptide-class-i;amglyccycl,1
NRPS;T1PKS;ladderane,1
terpene;T2PKS,1
terpene;T1PKS,1
terpene;NRPS;lanthipeptide-class-ii,1
terpene;NRPS;betalactone,1
terpene;NRPS;T1PKS,1
terpene;NRPS,1
siderophore;thioamide-NRP,1
NRPS;other;lanthipeptide-class-i,1
NRPS;other;T1PKS,1
NRPS;oligosaccharide;terpene,1
NRPS;T1PKS;LAP,1
NRPS;RiPP-like;T1PKS,1
NRPS;PUFA;hglE-KS,1
terpene;transAT-PKS;T1PKS,1
terpene;redox-cofactor,1
terpene;pyrrolidine;indole,1
terpene;oligosaccharide;T1PKS,1
terpene;melanin,1
terpene;linaridin,1
terpene;lanthipeptide-class-ii,1
terpene;indole,1
terpene;furan,1
NRPS;betalactone;indole,1
NRPS;betalactone;T1PKS,1
NRPS;acyl_amino_acids,1
NRPS;T3PKS;NRPS-like,1
LAP;thiopeptide;NRPS,1
transAT-PKS;NRPS;T1PKS;PKS-like,1
LAP;siderophore,1
LAP;RiPP-like;terpene,1
LAP;RiPP-like;NRPS,1
LAP;NRPS;T1PKS,1
LAP;NRPS-like;PKS-like,1
LAP;NRPS,1
CDPS;NRPS,1
tropodithietic-acid,1
transAT-PKS;terpene,1
transAT-PKS;T1PKS;NRPS;PKS-like,1
transAT-PKS;T1PKS;NRPS,1
transAT-PKS;T1PKS,1
transAT-PKS;RRE-containing,1
transAT-PKS;PKS-like;hserlactone,1
T3PKS;terpene;other,1
T3PKS;terpene;T2PKS,1
NRPS-like;transAT-PKS;NRPS;PKS-like,1
NRPS-like;transAT-PKS;NRPS,1
arylpolyene;other;NRPS-like;T1PKS;butyrolactone,1
arylpolyene;lipolanthine;lanthipeptide-class-iii,1
arylpolyene;hserlactone,1
arylpolyene;T2PKS,1
arylpolyene;T1PKS;PKS-like,1
arylpolyene;RRE-containing,1
arylpolyene;PUFA;hglE-KS,1
arylpolyene;NRPS;lanthipeptide-class-i;lanthipeptide-class-ii,1
arylpolyene;NRPS;NRPS-like,1
CDPS;arylpolyene,1
NAPAA;NRPS;NRPS-like,1
LAP;thiopeptide;lanthipeptide-class-ii,1
