products,n_bgc
guanidinotides,2
epipeptide,2
T3PKS;PKS-like,2
cyclic-lactone-autoinducer;lassopeptide,2
butyrolactone;ectoine,2
butyrolactone;PKS-like,2
terpene;RRE-containing,2
terpene;LAP;RiPP-like,2
terpene;NRPS;NRPS-like,2
NRPS;ladderane;arylpolyene,2
NRPS;other,2
betalactone;resorcinol,2
NRPS;PKS-like;T1PKS,2
NRPS;T1PKS;PKS-like,2
hglE-KS;NRPS,2
NRPS-like;transAT-PKS-like,2
arylpolyene;resorcinol;terpene,2
betalactone;NRPS-like;terpene,2
arylpolyene;NRPS-like,2
terpene;lanthipeptide-class-iii,2
terpene;lanthipeptide-class-i;T1PKS;hglE-KS,2
acyl_amino_acids;thioamide-NRP,2
NRPS;arylpolyene;resorcinol,2
betalactone;NRPS;T1PKS,2
arylpolyene;ladderane;NRPS,2
betalactone;hserlactone,2
betalactone;butyrolactone,2
transAT-PKS-like;T1PKS,2
transAT-PKS-like;NRPS-like;T1PKS,2
NRPS;PKS-like;NRPS-like,2
NRPS-like;ladderane;arylpolyene;NRPS,2
T3PKS;redox-cofactor,2
transAT-PKS;PKS-like;T3PKS;NRPS,2
NRPS;NRPS-like;prodigiosin,2
transAT-PKS;NRPS;PKS-like;ectoine,2
NAPAA;microviridin,1
transAT-PKS-like;NRPS-like;T3PKS;PKS-like,1
transAT-PKS-like;NRPS;PKS-like;T3PKS,1
transAT-PKS-like;PKS-like;T3PKS,1
transAT-PKS;NRPS;NRPS-like,1
transAT-PKS;NRPS;NRPS-like;PKS-like,1
thiopeptide;ectoine,1
thiopeptide;thioamitides;LAP,1
transAT-PKS;PKS-like;T1PKS;NRPS,1
CDPS;T3PKS,1
thiopeptide;RRE-containing,1
thiopeptide;LAP;lanthipeptide-class-iv,1
thiopeptide;LAP;hserlactone,1
thiopeptide;LAP;ectoine,1
thiopeptide;LAP;butyrolactone,1
thioamitides;thiopeptide;LAP,1
thioamitides;betalactone,1
thioamitides;T3PKS,1
thioamide-NRP;ladderane,1
thioamide-NRP;NRPS;ladderane,1
NRPS;T1PKS;betalactone;hserlactone,1
NRPS;T1PKS;arylpolyene,1
NRPS;T1PKS;T3PKS,1
